브라질 행정구역명 리스트 (26개 주 + 1개 연방구)

순번 | 주명 (영문) | 주명 (포르투갈어) | 약자 | 한글명
1 | Acre | Acre | AC | 아크리
2 | Alagoas | Alagoas | AL | 알라고아스
3 | Amapá | Amapá | AP | 아마파
4 | Amazonas | Amazonas | AM | 아마조나스
5 | Bahia | Bahia | BA | 바이아
6 | Ceará | Ceará | CE | 세아라
7 | Distrito Federal | Distrito Federal | DF | 연방구
8 | Espírito Santo | Espírito Santo | ES | 이스피리투 산투
9 | Goiás | Goiás | GO | 고이아스
10 | Maranhão | Maranhão | MA | 마라냥
11 | Mato Grosso | Mato Grosso | MT | 마투 그로수
12 | Mato Grosso do Sul | Mato Grosso do Sul | MS | 마투 그로수 두 술
13 | Minas Gerais | Minas Gerais | MG | 미나스 제라이스
14 | Pará | Pará | PA | 파라
15 | Paraíba | Paraíba | PB | 파라이바
16 | Paraná | Paraná | PR | 파라나
17 | Pernambuco | Pernambuco | PE | 페르남부쿠
18 | Piauí | Piauí | PI | 피아우이
19 | Rio de Janeiro | Rio de Janeiro | RJ | 리우데자네이루
20 | Rio Grande do Norte | Rio Grande do Norte | RN | 리우 그란지 두 노르치
21 | Rio Grande do Sul | Rio Grande do Sul | RS | 리우 그란지 두 술
22 | Rondônia | Rondônia | RO | 론도니아
23 | Roraima | Roraima | RR | 로라이마
24 | Santa Catarina | Santa Catarina | SC | 산타 카타리나
25 | São Paulo | São Paulo | SP | 상파울루
26 | Sergipe | Sergipe | SE | 세르지피
27 | Tocantins | Tocantins | TO | 토칸칭스

총 27개 행정구역 (26개 주 + 1개 연방구)

참고: 코드에서는 GeoJSON 데이터 소스의 name, NAME_1, state 속성에서 이름을 가져옵니다.
실제 표시되는 이름은 데이터 소스에 따라 다를 수 있습니다.





